,Portfolio,AssetType,AssetNumber,Ticker,Name,Units,CurrentMarketValue,AverageCost,LastPrice,CurrentWeight,PostTradeMarketValue,PostTradeWeight,IndicativeYield,OptPC,OptStrike,OptExpiryYYYYMMDD,symbol,max_date,VALUE_DATE,EXPIRY,STRIKE,RISK_MULTIPLIER,RISK_UNITS
112,BDOP_Portfolio,EQ,27,BEKE US Equity,KE Holdings Inc,74938.0,1548299.697,20.5105,16.059998,2.5,1548300.0,2.5,0.0,,0.0,,BEKE,2050-12-31,2021-08-24,,1.0,1.0,74938.0
113,BDOP_Portfolio,EQ,28,AENA SM Equity,Aena SME SA,6255.0,1257558.8545,140.6434,133.949997,2.0,1257559.0,2.0,0.0,,0.0,,AENA,2050-12-31,2021-08-24,,1.0,1.0,6255.0
114,BDOP_Portfolio,EQ,29,MTX GR Equity,MTU Aero Engines AG,4247.0,1250979.5889,198.4745,196.25,2.0,1250980.0,2.0,0.6,,0.0,,MTX,2050-12-31,2021-08-24,,1.0,1.0,4247.0
115,BDOP_Portfolio,EQ,30,EDU US Equity,New Oriental Education & Technology Group Inc,500581.0,1168430.9452,4.5558,1.8,1.9,1168431.0,1.9,0.0,,0.0,,EDU,2050-12-31,2021-08-24,,1.0,1.0,500581.0
116,BDOP_Portfolio,EQ,31,9901 HK Equity,New Oriental Education & Technology Group Inc,509900.0,1133109.2932,17.441,13.5,1.8,1133109.0,1.8,0.0,,0.0,,9901,2050-12-31,2021-08-24,,1.0,1.0,509900.0
117,BDOP_Portfolio,EQ,32,KRN GR Equity,Krones AG,1081.0,137587.7787,58.993,84.800003,0.2,137588.0,0.2,0.1,,0.0,,KRN,2050-12-31,2021-08-24,,1.0,1.0,1081.0
118,BDOP_Portfolio,EQ,33,788 HK Equity,China Tower Corp Ltd,440000.0,73152.1626,1.1779,1.01,0.1,73152.0,0.1,2.7,,0.0,,788,2050-12-31,2021-08-24,,1.0,1.0,440000.0
119,BDOP_Portfolio,OP,1,SPY US U1721C430000 Equity,SPDR S&P 500 ETF Trust,3000.0,1446660.0881,6.0627,3.76,2.3,1446660.0,2.3,0.0,P,430.0,20210917,SPY,2050-12-31,2021-08-24,2021-09-17,430.0,100.0,300000.0
120,BDOP_Portfolio,OP,2,BEKE US V1521D150000 Equity,KE Holdings Inc,750.0,206803.18,1.35,2.150001,0.3,206803.0,0.3,0.0,P,15.0,20211015,BEKE,2050-12-31,2021-08-24,2021-10-15,15.0,100.0,75000.0
121,BDOP_Portfolio,OP,3,SPY US U0721C425000 Equity,SPDR S&P 500 ETF Trust,1000.0,198787.5245,4.7325,1.55,0.3,198788.0,0.3,0.0,P,425.0,20210907,SPY,2050-12-31,2021-08-24,2021-09-07,425.0,100.0,100000.0
