Date,FundName,Class,NAV,AdjustedNAV,Dividend,DivYield,SharesOustanding,AUM
2020-10-15,Black Diamond Global Enhanced Income Fund,A,20.0,19.681798115739884,0.0,0.0,30920.0,618400.0
2020-10-16,Black Diamond Global Enhanced Income Fund,A,20.00588745,19.68759189585571,0.0,0.0,30920.0,618582.039954
2020-10-19,Black Diamond Global Enhanced Income Fund,A,19.9371368,19.619935075174418,0.0,0.0,30920.0,616456.2698560001
2020-10-20,Black Diamond Global Enhanced Income Fund,A,19.92944308,19.612363762984465,0.0,0.0,30920.0,616218.3800335999
2020-10-21,Black Diamond Global Enhanced Income Fund,A,19.93117594,19.61406905301861,0.0,0.0,30920.0,616271.9600648
2020-10-22,Black Diamond Global Enhanced Income Fund,A,19.91192281,19.595122242130806,0.0,0.0,43036.681,856943.0700705935
2020-10-23,Black Diamond Global Enhanced Income Fund,A,19.93490135,19.617735191394527,0.0,0.0,43036.681,857931.9901664193
2020-10-26,Black Diamond Global Enhanced Income Fund,A,19.85990741,19.54393441204533,0.0,0.0,43036.681,854704.4998937062
2020-10-27,Black Diamond Global Enhanced Income Fund,A,19.84264307,19.526944749321256,0.0,0.0,43036.681,853961.5000004506
2020-10-28,Black Diamond Global Enhanced Income Fund,A,19.71967234,19.405930495220996,0.0,0.0,43288.664,853638.2701163536
2020-10-29,Black Diamond Global Enhanced Income Fund,A,19.72523846,19.411408057727396,0.0,0.0,43288.664,853879.2200148174
2020-10-30,Black Diamond Global Enhanced Income Fund,A,19.65349173,19.34080282496117,0.0,0.0,43288.664,850773.3999267486
2020-11-02,Black Diamond Global Enhanced Income Fund,A,19.65663643,19.343897492487898,0.0,0.0,43288.664,850909.5297884294
2020-11-03,Black Diamond Global Enhanced Income Fund,A,19.74303347,19.428919947441774,0.0,0.0,48350.577,954587.0600048122
2020-11-04,Black Diamond Global Enhanced Income Fund,A,20.03575874,19.716987930817545,0.0,0.0,49363.594,989037.0599233115
2020-11-05,Black Diamond Global Enhanced Income Fund,A,20.17310287,19.852146902769643,0.0,0.0,49363.594,995816.8597949147
2020-11-06,Black Diamond Global Enhanced Income Fund,A,20.22014564,19.8984412178669,0.0,0.0,49363.594,998139.05999383
2020-11-09,Black Diamond Global Enhanced Income Fund,A,20.34489345,20.02120427845694,0.0,0.0,49363.594,1004297.0602390593
2020-11-10,Black Diamond Global Enhanced Income Fund,A,20.26042227,19.93807704288902,0.0,0.0,52081.72,1055197.6397479044
2020-11-11,Black Diamond Global Enhanced Income Fund,A,20.3993405,20.074785070761816,0.0,0.0,52081.72,1062432.7401056602
2020-11-12,Black Diamond Global Enhanced Income Fund,A,20.373888,20.049737522434775,0.0,0.0,52081.72,1061107.13012736
2020-11-13,Black Diamond Global Enhanced Income Fund,A,20.5167899,20.190365839742554,0.0,0.0,52572.544,1078619.8397565056
2020-11-16,Black Diamond Global Enhanced Income Fund,A,20.59850366,20.270779526122453,0.0,0.0,52572.544,1082915.739999511
2020-11-17,Black Diamond Global Enhanced Income Fund,A,20.58406171,20.256567348907573,0.0,0.0,52572.544,1082156.4899476904
2020-11-18,Black Diamond Global Enhanced Income Fund,A,20.55427396,20.227253524816465,0.0,0.0,53957.108,1109049.1799213076
2020-11-19,Black Diamond Global Enhanced Income Fund,A,20.63359192,20.305309528600084,0.0,0.0,59795.302,1233791.86020116
2020-11-20,Black Diamond Global Enhanced Income Fund,A,20.54993563,20.222984218055494,0.0,0.0,61646.651,1266834.709855075
2020-11-23,Black Diamond Global Enhanced Income Fund,A,20.55790947,20.23083119350985,0.0,0.0,62133.271,1277330.1602929763
2020-11-24,Black Diamond Global Enhanced Income Fund,A,20.64232563,20.313904284451148,0.0,0.0,66754.366,1377965.3601962004
2020-11-25,Black Diamond Global Enhanced Income Fund,A,20.64914957,20.320619654922844,0.0,0.0,81287.63,1678520.430060819
2020-11-26,Black Diamond Global Enhanced Income Fund,A,20.67408218,20.345155584748767,0.0,0.0,178771.214,3695930.7696543667
2020-11-27,Black Diamond Global Enhanced Income Fund,A,20.70289963,20.37351454640429,0.0,0.0,178771.214,3701082.500175251
2020-11-30,Black Diamond Global Enhanced Income Fund,A,20.60589739,20.27805562118156,0.0,0.0,179833.867,3705638.210648907
2020-12-01,Black Diamond Global Enhanced Income Fund,A,20.68658065,20.35745520291355,0.0,0.0,180294.9,3729684.989633685
2020-12-02,Black Diamond Global Enhanced Income Fund,A,20.66398606,20.335220094969152,0.0,0.0,180294.9,3725611.3002890935
2020-12-03,Black Diamond Global Enhanced Income Fund,A,20.64809372,20.319580603595817,0.0,0.0,182956.534,3777703.6607183665
2020-12-04,Black Diamond Global Enhanced Income Fund,A,20.65920805,20.330518103558404,0.0,0.0,182956.534,3779737.100012899
