ID,Security Description,SymbolBLK,Symbol,Country,Sector,Asset Class,Asset Group,Shares/Par,Market Value,Weights,Book Cost,Price Cost,Price Close,PxChange,BookPL,Coupon Rate,CUSIP,ISIN,ESG,environment,Social,Governance,Symbol Unq.
40836,Johnson Service Group Plc,JSG.L,JSG LN Equity,United Kingdom,Industrials,Equity,Foreign Stock,688907.00,1790592.00,0.03,1717219.00,2.49,2.60,0.04,0.00,0.00,,GB0004762810,-,-,-,-,JSG LN Equity
40753,Ssp Group Plc,SSPG.L,SSPG LN Equity,United Kingdom,Consumer Discretionary,Equity,Foreign Stock,369508.00,1758204.00,0.03,1910124.00,5.17,4.76,-0.08,0.00,0.00,,GB00BGBN7C04,-,-,-,-,SSPPF Equity
38602,Autogrill S.P.A.,AGL.MI,AGL IM Equity,Europe,Consumer Discretionary,Equity,Foreign Stock,178577.00,1725762.00,0.03,1457977.00,8.16,9.66,0.18,0.00,0.00,,IT0001137345,-,-,-,-,AGL IM Equity
46846,"New Oriental Education & Technology Group Inc., Ad",EDU,EDU US Equity,United States,Consumer Staples,Equity,Domestic Stock,569481.00,1455751.00,0.02,3276293.00,5.75,2.56,-0.56,0.00,0.00,647581107.00,US6475811070,-,-,-,-,EDU US Equity
48704,New Oriental Education & Technology Group Inc,9901.HK,9901 HK Equity,Hong Kong,Consumer Discretionary,Equity,Foreign Stock,509900.00,1276875.00,0.02,1441329.00,2.83,2.50,-0.11,0.00,0.00,0.00,KYG6470A1168,-,-,-,-,9901 HK Equity
8739,Aena Sa,AENA.SM,AENA SM Equity,Europe,Industrials,Equity,Foreign Stock,6255.00,1265052.00,0.02,1306650.00,208.90,202.25,-0.03,0.00,0.00,,ES0105046009,-,-,-,-,ES0105046009 Equity
38605,Mtu Aero Engines Ag,MTX.DE,MTX GR Equity,Europe,Industrials,Equity,Foreign Stock,4247.00,1245449.00,0.02,1250305.00,294.40,293.25,0.00,0.00,0.00,,DE000A0D9PT0,-,-,-,-,MTX GR Equity
49548,Alibaba Group Holding Lt Call 180 12/17/21,BABA,BABA US 12/17/21 C180 Equity,United States,Consumer Discretionary,Option,Option,500.00,720921.00,0.01,845744.00,16.91,14.42,-0.15,0.00,0.00,,BABAL180U,-,-,-,-,
48199,Spdr S&P 500 ETF Trust Put 430 09/17/21,SPY,SPY US 09/17/21 P430 Equity,United States,Equity Index,Option,Option,3000.00,710217.00,0.01,2297892.00,7.66,2.37,-0.69,0.00,0.00,,SPYU430U,-,-,-,-,
49549,Baidu Inc Call 170 12/17/21,BIDU,BIDU US 12/17/21 C170 Equity,United States,Communication Services,Option,Option,400.00,400442.00,0.01,388982.00,9.72,10.01,0.03,0.00,0.00,,BIDUL170U,-,-,-,-,
38603,Krones AG,KRN.DE,KRN GR Equity,Europe,Industrials,Equity,Foreign Stock,1081.00,137234.00,0.00,94570.00,87.48,126.95,0.45,0.00,0.00,,DE0006335003,-,-,-,-,KRN GR Equity
49007,Ke Holdings Inc Put 15 10/15/21,BEKE,BEKE US 10/15/21 P15 Equity,United States,Real Estate,Option,Option,750.00,104833.00,0.00,129388.00,1.73,1.40,-0.19,0.00,0.00,,BEKEV15U,-,-,-,-,
44624,China Tower Corp Ltd,788.HK,788 HK Equity,Hong Kong,Industrials,Equity,Foreign Stock,440000.00,72601.00,0.00,83971.00,0.19,0.17,-0.14,0.00,0.00,Y15076105,CNE100003688,-,-,-,-,788 HK Equity
49009,Wynn Resorts Ltd Put 70 03/18/22,WYNN,WYNN US 03/18/22 P70 Equity,United States,Consumer Discretionary,Option,Option,200.00,69259.00,0.00,89650.00,4.48,3.46,-0.23,0.00,0.00,,WYNNO70U,-,-,-,-,
48371,Cineworld Group Plc,CINE.L,CINE LN Equity,United Kingdom,Consumer Discretionary,Equity,Foreign Stock,55150.00,64486.00,0.00,58639.00,1.06,1.17,0.10,0.00,0.00,,GB00B15FWH70,-,-,-,-,CINE LN Equity
48873,Spdr S&P 500 ETF Trust Put 425 09/07/21,SPY,SPY US 09/07/21 P425 Equity,United States,Equity Index,Option,Option,1000.00,54148.00,0.00,598459.00,5.98,0.54,-0.91,0.00,0.00,,SPY2U425U,-,-,-,-,
47845,Tal Education Group Call 32.5 11/19/21,TAL,TAL US 11/19/21 C32.5 Equity,United States,Consumer Discretionary,Option,Option,5100.00,19267.00,0.00,1274399.00,2.50,0.04,-0.98,0.00,0.00,,TALK325U,-,-,-,-,
47844,Alibaba Group Holding Lt Call 230 09/17/21,BABA,BABA US 09/17/21 C230 Equity,United States,Consumer Discretionary,Option,Option,280.00,4936.00,0.00,231645.00,8.27,0.18,-0.98,0.00,0.00,,BABAI230U,-,-,-,-,
47901,Alibaba Group Holding Lt Call 225 09/17/21,BABA,BABA US 09/17/21 C225 Equity,United States,Consumer Discretionary,Option,Option,-140.00,-2997.00,0.00,-228786.00,16.34,0.21,-0.99,0.00,0.00,,BABAI225U,-,-,-,-,
48872,Spdr S&P 500 ETF Trust Put 400 09/07/21,SPY,SPY US 09/07/21 P400 Equity,United States,Equity Index,Option,Option,-1000.00,-18889.00,0.00,-239634.00,2.40,0.19,-0.92,0.00,0.00,,SPY2U400U,-,-,-,-,
49008,Wynn Resorts Ltd Put 50 03/18/22,WYNN,WYNN US 03/18/22 P50 Equity,United States,Consumer Discretionary,Option,Option,-200.00,-20526.00,0.00,-20906.00,1.05,1.03,-0.02,0.00,0.00,,WYNNO50U,-,-,-,-,
47304,Spdr S&P 500 ETF Trust Put 410 09/17/21,SPY,SPY US 09/17/21 P410 Equity,United States,Equity Index,Option,Option,-3000.00,-313553.00,0.00,-1201104.00,4.00,1.05,-0.74,0.00,0.00,,SPYU410U,-,-,-,-,
48788,Tal Education Group Put 7.5 09/17/21,TAL,TAL US 09/17/21 P7.5 Equity,United States,Consumer Discretionary,Option,Option,-4000.00,-1324731.00,-0.02,-1223985.00,3.06,3.31,0.08,0.00,0.00,,TALU75U,-,-,-,-,
48787,New Oriental Education & T Put 4.5 09/17/21,EDU,EDU US 09/17/21 P4.5 Equity,United States,Consumer Discretionary,Option,Option,-4311.00,-1357157.00,-0.02,-1237720.00,2.87,3.15,0.10,0.00,0.00,,EDUU45U,-,-,-,-,
