Date,0788.HK,9901.HK,AC.PA,AENA.MC,AGL.MI,ALSEA.MX,AMS.MC,ANGI,ATHM,ATL.MI,BABA,BEKE,BIDU,CIEL3.SA,CINE.L,COTY,DUFN.SW,EDU,IRTC,JSG.L,KC,KRN.DE,MEL.MC,MSGE,MTX.DE,NOK,PLAY,PROSF,REAL,SABR,SPY,SSPG.L,TAL,TCEHY,TKA.DE,WYNN,YSG
2015-01-02,,,33.75381088256836,,6.006340980529785,38.215240478515625,29.70880699157715,6.389999866485596,36.72624588012695,16.588611602783203,103.5999984741211,,223.0800018310547,17.4655704498291,124.73431396484375,17.598106384277344,,1.9899814128875732,,54.55933380126953,,73.61277770996094,8.441877365112305,,64.06404113769531,6.766416549682617,25.646915435791016,,,17.52362632751465,181.55599975585938,277.9514465332031,4.664393424987793,14.125813484191895,20.280710220336914,129.63699340820312,
2015-01-05,,,33.31920623779297,,5.893456935882568,37.35324478149414,29.25223159790039,6.25,35.987640380859375,15.931391716003418,101.0,,219.7899932861328,16.871957778930664,123.80011749267578,17.546424865722656,117.31674194335938,2.031885862350464,,54.11933517456055,,72.74983978271484,8.280627250671387,,64.12644958496094,6.470755100250244,25.08852195739746,,,17.25322723388672,178.2771759033203,275.01068115234375,4.656094551086426,14.341925621032715,19.731277465820312,127.43062591552734,
2015-01-06,,,32.622039794921875,,5.7006144523620605,37.97579574584961,29.482786178588867,6.059999942779541,34.918601989746094,15.981304168701172,103.31999969482422,,220.17999267578125,16.53337287902832,122.05216979980469,17.417217254638672,117.23693084716797,2.0133697986602783,,56.319313049316406,,72.64083862304688,8.275885581970215,,65.06253051757812,6.369385719299316,26.146530151367188,,,17.00899314880371,176.5980224609375,258.50433349609375,4.573098659515381,15.019729614257812,20.054189682006836,124.71240234375,
2015-01-07,,,32.78501892089844,,5.719428539276123,39.55612564086914,29.32908821105957,5.840000152587891,37.775848388671875,16.36399269104004,102.12999725341797,,224.35000610351562,16.687278747558594,121.20834350585938,17.47751235961914,116.19944763183594,2.0084972381591797,,58.519287109375,,71.89598846435547,8.446619987487793,,66.32848358154297,6.386280536651611,27.273113250732422,,,17.000268936157227,178.79861450195312,250.44085693359375,4.349008083343506,15.943114280700684,19.861404418945312,128.3749542236328,
2015-01-08,,,33.441444396972656,,5.982823848724365,39.98712158203125,29.555105209350586,5.809999942779541,37.416259765625,16.505416870117188,105.02999877929688,,229.2100067138672,17.148977279663086,123.52887725830078,17.623945236206055,117.31674194335938,2.0240895748138428,,59.61927032470703,,73.54918670654297,8.868714332580566,,67.17542266845703,6.420070171356201,26.90085220336914,,,17.6282958984375,181.97142028808594,256.1326904296875,4.541559219360352,16.30657196044922,20.56987953186035,129.91944885253906,
2015-01-09,,,33.41427993774414,,5.9216790199279785,39.326263427734375,29.984560012817383,5.630000114440918,40.283226013183594,16.671804428100586,103.0199966430664,,226.89999389648438,17.509546279907227,124.61375427246094,17.107118606567383,116.5186767578125,2.0445547103881836,,58.07929229736328,,73.2585220336914,8.726435661315918,,67.00602722167969,6.377833843231201,26.85186767578125,,,17.29684066772461,180.51316833496094,249.96656799316406,4.591357231140137,16.21816635131836,20.165037155151367,131.54327392578125,
2015-01-12,,,33.785499572753906,,6.0627827644348145,38.885684967041016,30.527013778686523,5.579999923706055,36.92061996459961,17.13768196105957,101.62000274658203,,220.88999938964844,17.07423210144043,125.36717224121094,16.6419677734375,115.88021087646484,2.078662872314453,,59.61927032470703,,75.08429718017578,8.735920906066895,,67.04168701171875,6.3524909019470215,27.79232406616211,,,17.0351619720459,179.09912109375,244.1798553466797,4.495080947875977,15.913643836975098,20.184316635131836,131.02256774902344,
2015-01-13,,,34.36043930053711,,6.232108116149902,38.770751953125,30.55866050720215,5.670000076293945,35.35593795776367,17.378938674926758,100.7699966430664,,219.60000610351562,16.48060417175293,122.2028579711914,16.3835506439209,117.07732391357422,2.0806121826171875,,60.279266357421875,,74.81179809570312,8.78808879852295,,69.43984985351562,6.3018059730529785,29.859357833862305,,,17.122386932373047,178.59532165527344,243.13633728027344,4.568118572235107,16.14940071105957,19.760194778442383,132.2140350341797,
2015-01-14,,,33.54556655883789,,6.114521026611328,37.93748474121094,30.314556121826172,5.579999923706055,35.1226921081543,16.962980270385742,99.58000183105469,,216.82000732421875,16.64330291748047,122.1426010131836,16.288795471191406,115.3215560913086,2.0669689178466797,,59.83926010131836,,74.40304565429688,8.792831420898438,,69.74297332763672,6.50454568862915,30.192434310913086,,,17.20961570739746,177.51712036132812,246.6463165283203,4.596336841583252,15.884173393249512,18.63723373413086,131.1461639404297,
2015-01-15,,,34.5867919921875,,6.250921726226807,37.76508712768555,30.640029907226562,5.210000038146973,34.70479965209961,17.736665725708008,96.30999755859375,,215.97000122070312,16.436635971069336,120.72621154785156,16.306026458740234,102.95142364501953,2.004599094390869,,58.959285736083984,,75.17513275146484,8.868714332580566,,71.14265441894531,6.276463508605957,29.800579071044922,,,16.921764373779297,175.89102172851562,248.63845825195312,4.642815113067627,15.815409660339355,19.42282485961914,130.30770874023438,
2015-01-16,,,35.388084411621094,,6.208590030670166,37.47775650024414,30.079492568969727,5.110000133514404,34.61732864379883,17.80322265625,96.88999938964844,,220.1999969482422,17.148977279663086,122.35350036621094,16.11652183532715,97.6043472290039,1.998752236366272,,58.519287109375,,74.92988586425781,9.001505851745605,,70.42943572998047,6.386280536651611,29.232389450073242,,,17.18344497680664,178.1976776123047,254.14056396484375,4.679332733154297,15.52071475982666,19.98671531677246,129.7252960205078,
