Date,FundName,Class,NAV,AdjustedNAV,Dividend,DivYield,SharesOustanding,AUM
2021-02-24,Black Diamond Distressed Opportunities Fund,F,26.77802773,26.728635845891006,0.0,0.0,1555161.75,41644164.46613533
2021-02-25,Black Diamond Distressed Opportunities Fund,F,26.45045677,26.401669088226473,0.0,0.0,1576283.282,41693412.80781472
2021-02-26,Black Diamond Distressed Opportunities Fund,F,26.67164228,26.622446623106473,0.0,0.0,1615742.04,43094493.70763745
2021-03-01,Black Diamond Distressed Opportunities Fund,F,27.10460102,27.054606773750837,0.0,0.0,1632581.385,44250467.07310402
2021-03-02,Black Diamond Distressed Opportunities Fund,F,27.06776591,27.01783960585257,0.0,0.0,1659772.342,44926329.21714846
2021-03-03,Black Diamond Distressed Opportunities Fund,F,27.36807658,27.317596354930576,0.0,0.0,1683070.947,46062414.56706912
2021-03-04,Black Diamond Distressed Opportunities Fund,F,27.09963085,27.0496457711945,0.0,0.0,1702661.941,46141510.06344448
2021-03-05,Black Diamond Distressed Opportunities Fund,F,26.82030374,26.77083387808742,0.0,0.0,1713521.884,45957177.39401705
2021-03-08,Black Diamond Distressed Opportunities Fund,F,27.25340627,27.203137553512136,0.0,0.0,1719357.017,46858335.3074763
2021-03-09,Black Diamond Distressed Opportunities Fund,F,27.3449773,27.294539681390322,0.0,0.0,1742792.593,47656623.89419314
2021-03-10,Black Diamond Distressed Opportunities Fund,F,27.36634468,27.315867649407956,0.0,0.0,1773617.923,48537439.4114437
2021-03-11,Black Diamond Distressed Opportunities Fund,F,27.42308186,27.372500178077864,0.0,0.0,1786463.334,48990330.248170525
2021-03-12,Black Diamond Distressed Opportunities Fund,F,27.49025419,27.439548609186872,0.0,0.0,1835536.909,50459376.2035369
2021-03-15,Black Diamond Distressed Opportunities Fund,F,27.5605481,27.509712862563486,0.0,0.0,1864564.145,51388409.80380787
2021-03-16,Black Diamond Distressed Opportunities Fund,F,27.4490713,27.39844168073828,0.0,0.0,1907207.031,52351061.77778031
2021-03-17,Black Diamond Distressed Opportunities Fund,F,27.38736069,27.336844895525086,0.0,0.0,1913291.018,52399991.21490328
2021-03-18,Black Diamond Distressed Opportunities Fund,F,27.2898829,27.239546902624237,0.0,0.0,1932856.936,52747439.44589279
2021-03-19,Black Diamond Distressed Opportunities Fund,F,27.03525297,26.985386635742078,0.0,0.0,1966532.397,53165700.82659547
2021-03-22,Black Diamond Distressed Opportunities Fund,F,26.81636867,26.766906066296393,0.0,0.0,1975587.466,52978081.82808709
2021-03-23,Black Diamond Distressed Opportunities Fund,F,26.46578987,26.41697390643118,0.0,0.0,1980949.34,52427388.97555518
2021-03-24,Black Diamond Distressed Opportunities Fund,F,26.2852503,26.236767340400277,0.0,0.0,1996826.096,52487073.73893183
2021-03-25,Black Diamond Distressed Opportunities Fund,F,26.50938324,26.46048686876634,0.0,0.0,2005290.588,53159016.70485694
2021-03-26,Black Diamond Distressed Opportunities Fund,F,26.45028396,26.40898276327596,0.0075,0.0,2025433.663,53573295.52849294
2021-03-29,Black Diamond Distressed Opportunities Fund,F,26.32892762,26.28781591697212,0.0,0.0,2029736.31,53440780.393675886
2021-03-30,Black Diamond Distressed Opportunities Fund,F,26.67315102,26.63150182412774,0.0,0.0,2036128.821,54309971.53870755
2021-03-31,Black Diamond Distressed Opportunities Fund,F,26.56185112,26.52037571504326,0.0,0.0,2054430.64,54569480.79604632
2021-04-01,Black Diamond Distressed Opportunities Fund,F,26.84488528,26.80296792706495,0.0,0.0,2065488.935,55447813.50718438
2021-04-05,Black Diamond Distressed Opportunities Fund,F,26.85090336,26.808976610042738,0.0,0.0,2071828.873,55630476.84738071
2021-04-06,Black Diamond Distressed Opportunities Fund,F,27.33470087,27.29201868708915,0.0,0.0,2074896.859,56716684.976867564
2021-04-07,Black Diamond Distressed Opportunities Fund,F,27.23661119,27.194082170706466,0.0,0.0,2079177.133,56629739.16665992
2021-04-08,Black Diamond Distressed Opportunities Fund,F,27.20044619,27.15797364109377,0.0,0.0,2083928.094,56683773.984676264
2021-04-09,Black Diamond Distressed Opportunities Fund,F,27.07120085,27.02893011318853,0.0,0.0,2105288.075,56992676.32543487
2021-04-12,Black Diamond Distressed Opportunities Fund,F,27.02555173,26.98335227269873,0.0,0.0,2121111.164,57324199.48776251
2021-04-13,Black Diamond Distressed Opportunities Fund,F,27.2031759,27.16069908874672,0.0,0.0,2126217.489,57839868.35492332
2021-04-14,Black Diamond Distressed Opportunities Fund,F,27.43000416,27.387173164322725,0.0,0.0,2143448.037,58794788.571653835
2021-04-15,Black Diamond Distressed Opportunities Fund,F,27.3858389,27.343076866837244,0.0,0.0,2150736.946,58899735.519434
2021-04-16,Black Diamond Distressed Opportunities Fund,F,27.40458306,27.361791758484557,0.0,0.0,2158111.289,59142140.07212416
2021-04-19,Black Diamond Distressed Opportunities Fund,F,27.62628437,27.583146889614333,0.0,0.0,2160735.406,59693090.774483405
2021-04-20,Black Diamond Distressed Opportunities Fund,F,27.09301086,27.05070606761789,0.0,0.0,2161972.541,58574345.5323348
2021-04-21,Black Diamond Distressed Opportunities Fund,F,27.26454685,27.2219742101468,0.0,0.0,2165316.545,59036374.38623263
2021-04-22,Black Diamond Distressed Opportunities Fund,F,27.3409004,27.29820853673907,0.0,0.0,2172992.97,59411584.36267019
2021-04-23,Black Diamond Distressed Opportunities Fund,F,27.5621603,27.519122947115186,0.0,0.0,2184624.605,60212973.55833418
2021-04-26,Black Diamond Distressed Opportunities Fund,F,27.62636889,27.583231277639296,0.0,0.0,2203978.226,60887915.49700378
2021-04-27,Black Diamond Distressed Opportunities Fund,F,27.37047327,27.335223518744403,0.0075,0.0,2218635.641,60725107.50785981
2021-04-28,Black Diamond Distressed Opportunities Fund,F,27.51432975,27.478894729564495,0.0,0.0,2229811.526,61351769.6067147
2021-04-29,Black Diamond Distressed Opportunities Fund,F,27.29353983,27.258389159406857,0.0,0.0,2240052.513,61138962.48485709
2021-04-30,Black Diamond Distressed Opportunities Fund,F,27.15620816,27.121234355446372,0.0,0.0,2243179.631,60916252.99970799
2021-05-03,Black Diamond Distressed Opportunities Fund,F,27.24032908,27.205246938207328,0.0,0.0,2249016.235,61263942.347662605
2021-05-04,Black Diamond Distressed Opportunities Fund,F,26.85185877,26.8172769294503,0.0,0.0,2268358.348,60909638.00024652
2021-05-05,Black Diamond Distressed Opportunities Fund,F,26.92679188,26.89211353496307,0.0,0.0,2273304.201,61212789.10025668
2021-05-06,Black Diamond Distressed Opportunities Fund,F,26.67145732,26.637107813987452,0.0,0.0,2280694.762,60829453.00463056
2021-05-07,Black Diamond Distressed Opportunities Fund,F,27.14992483,27.11495911759069,0.0,0.0,2284014.967,62010834.664644934
2021-05-10,Black Diamond Distressed Opportunities Fund,F,26.79797433,26.763461885879362,0.0,0.0,2291441.33,61405985.94004106
2021-05-11,Black Diamond Distressed Opportunities Fund,F,26.48069397,26.446590143357692,0.0,0.0,2294620.457,60763142.099118546
2021-05-12,Black Diamond Distressed Opportunities Fund,F,26.15458494,26.120901101060362,0.0,0.0,2306144.488,60316251.89530881
2021-05-13,Black Diamond Distressed Opportunities Fund,F,26.07732713,26.043742789470866,0.0,0.0,2310658.526,60255798.26822561
2021-05-14,Black Diamond Distressed Opportunities Fund,F,26.52474703,26.49058646851823,0.0,0.0,2319841.425,61533206.947839715
2021-05-17,Black Diamond Distressed Opportunities Fund,F,26.32175694,26.287857804402584,0.0,0.0,2324044.275,61172928.52434852
2021-05-18,Black Diamond Distressed Opportunities Fund,F,26.53763384,26.503456681916393,0.0,0.0,2327385.903,61763314.89819176
2021-05-19,Black Diamond Distressed Opportunities Fund,F,26.45878614,26.42471052790665,0.0,0.0,2328798.993,61617194.51883435
2021-05-20,Black Diamond Distressed Opportunities Fund,F,26.44406694,26.41001028439796,0.0,0.0,2332583.606,61682997.02021059
2021-05-21,Black Diamond Distressed Opportunities Fund,F,26.25454113,26.22072855997124,0.0,0.0,2334734.593,61297385.39955231
2021-05-25,Black Diamond Distressed Opportunities Fund,F,26.55233855,26.518142454086394,0.0,0.0,2342693.761,62203997.86104479
2021-05-26,Black Diamond Distressed Opportunities Fund,F,26.71510098,26.68818560734074,0.0075,0.0,2349209.203,62759361.08129032
2021-05-27,Black Diamond Distressed Opportunities Fund,F,26.69512819,26.668232939858196,0.0,0.0,2360755.674,63020675.34269985
2021-05-28,Black Diamond Distressed Opportunities Fund,F,26.79812668,26.771127659232594,0.0,0.0,2369778.424,63505622.409882754
2021-05-31,Black Diamond Distressed Opportunities Fund,F,26.82763083,26.800602083902607,0.0,0.0,2375536.594,63730018.76698759
2021-06-01,Black Diamond Distressed Opportunities Fund,F,27.16234213,27.13497616341523,0.0,0.0,2376934.408,64563105.610665
2021-06-02,Black Diamond Distressed Opportunities Fund,F,27.09037832,27.063084856707118,0.0,0.0,2377305.148,64402095.84140359
2021-06-03,Black Diamond Distressed Opportunities Fund,F,26.54826376,26.521516475267976,0.0,0.0,2377696.431,63123711.99139864
2021-06-04,Black Diamond Distressed Opportunities Fund,F,26.45673115,26.43007608405878,0.0,0.0,2383359.752,63055908.19239467
2021-06-07,Black Diamond Distressed Opportunities Fund,F,26.63066155,26.603831249777006,0.0,0.0,2383063.778,63462564.92398233
2021-06-08,Black Diamond Distressed Opportunities Fund,F,26.79805165,26.77105270482506,0.0,0.0,2388526.711,64007862.16878263
2021-06-09,Black Diamond Distressed Opportunities Fund,F,26.87707459,26.849996029483894,0.0,0.0,2398819.283,64473244.797121316
2021-06-10,Black Diamond Distressed Opportunities Fund,F,26.91375268,26.88663716643395,0.0,0.0,2402786.702,64668007.04042087
2021-06-11,Black Diamond Distressed Opportunities Fund,F,27.07165951,27.04438490584402,0.0,0.0,2418251.112,65466070.71374288
2021-06-14,Black Diamond Distressed Opportunities Fund,F,27.14651026,27.11916024396998,0.0,0.0,2422166.64,65753371.54418973
2021-06-15,Black Diamond Distressed Opportunities Fund,F,26.93219401,26.90505991685719,0.0,0.0,2434524.722,65567092.13504532
2021-06-16,Black Diamond Distressed Opportunities Fund,F,26.72415141,26.69722691906353,0.0,0.0,2448080.988,65422886.987254396
