Ticker,Name,RISK_UNITS,CurrentWeight,WEIGHT_USD,VolatilityHist,ImpliedVol,DeltaOption
AMZN US Equity,Amazon.com Inc,260.0,2.5,0.010847704135234958,0.3320768797697635,0.3984922557237162,0.999999992479208
CRM US Equity,salesforce.com Inc,3119.0,2.3,0.009909228108219682,0.20490945675973338,0.24589134811168004,0.9999999988846968
FB US Equity,Facebook Inc,2122.0,2.2,0.00978821888327133,0.2605312127588047,0.31263745531056564,0.9999999097733143
WDAY US Equity,Workday Inc,3182.0,2.2,0.009471274444145793,0.2562113630671117,0.307453635680534,0.9999996726109613
RH US Equity,RH,1046.0,2.1,0.009247680382321708,0.2613550657210597,0.31362607886527166,0.9999999927820018
MELI US Equity,MercadoLibre Inc,353.0,1.8,0.00802910764967665,0.6382462834648822,0.7658955401578587,0.9999730653972998
MANU US Equity,Manchester United Plc,35070.0,1.7,0.007606105240066482,0.18132520272043745,0.21759024326452495,0.999950067436114
CBOE US Equity,Cboe Global Markets Inc,4453.0,1.6,0.007120994653948384,0.24492303309921934,0.2939076397190632,0.9999984354670091
AAPL US Equity,Apple Inc,3679.0,1.6,0.007113038487218155,0.20905649281329877,0.2508677913759585,0.9999999679532763
FLT US Equity,FleetCor Technologies Inc,2020.0,1.6,0.0067938720739598646,0.29173139489449185,0.3500776738733902,0.9999980714628163
MSFT US Equity,Microsoft Corp,1732.0,1.5,0.006536394945183771,0.1077672862096718,0.12932074345160616,1.0
RBLX US Equity,ROBLOX Corp,6439.0,1.5,0.006511810014953792,0.5032973406139515,0.6039568087367417,0.9992349263560437
BABA US Equity,Alibaba Group Holding Ltd,2862.0,1.5,0.006398761819468523,0.37653401154888944,0.4518408138586673,0.9999241021277822
UBER US Equity,Uber Technologies Inc,11869.0,1.4,0.006263606858144934,0.3268134068276544,0.3921760881931853,0.9994473113967706
AMT US Equity,American Tower Corp,1605.0,1.4,0.005919938554978477,0.12555196018795098,0.15066235222554117,1.0
ME US Equity,23andMe Holding Co,55742.0,1.4,0.005897675440758353,0.6967824568310882,0.8361389481973058,0.9949411650869336
CTVA US Equity,Corteva Inc,10050.0,1.3,0.005828861474825812,0.3887070432294905,0.4664484518753886,0.9989852041295442
JKHY US Equity,Jack Henry & Associates Inc,2523.0,1.3,0.005794117326318165,0.22585763446479448,0.27102916135775335,0.9999999134420435
AON US Equity,Aon PLC,1499.0,1.2,0.005414357631732955,0.2062376569417588,0.24748518833011054,0.9999999992053289
COIN US Equity,Coinbase Global Inc,1640.0,1.2,0.005287837283563252,0.5933746412658223,0.7120495695189867,0.999742763117946
TAL US Equity,TAL Education Group,78037.0,1.2,0.005223124926017751,1.3631990196241952,1.6358388235490342,0.9999666950297995
ETSY US Equity,Etsy Inc,2045.0,1.2,0.005112532925660542,0.6539969947881008,0.784796393745721,0.9996565532132032
V US Equity,Visa Inc,1668.0,1.2,0.005033960877170232,0.1530777463117893,0.18369329557414715,0.9999999999999826
ANGI US Equity,Angi Inc,38753.0,1.1,0.004988061882331111,0.4443159243835895,0.5331791092603074,0.9910206479514433
AVGO US Equity,Broadcom Inc,804.0,1.1,0.004954403115726471,0.18047155309778665,0.21656586371734396,0.9999999999998408
WYNN US Equity,Wynn Resorts Ltd,4138.0,1.1,0.004897968484600835,0.4835387440884346,0.5802464929061215,0.9993760591744801
ROP US Equity,Roper Technologies Inc,773.0,1.1,0.0048336199588993566,0.13461599515490996,0.16153919418589194,1.0
FTDR US Equity,Frontdoor Inc,7965.0,1.0,0.004332531469044414,0.5512010837851892,0.6614413005422269,0.998227614014934
JNJ US Equity,Johnson & Johnson,1832.0,1.0,0.004232217950851304,0.10159980634571701,0.12191976761486041,1.0
EDU US Equity,New Oriental Education & Technology Group Inc,174984.0,1.0,0.004166741640061364,0.8970946309733244,1.0765135571679894,0.9962266087055853
BIIB US Equity,Biogen Inc,902.0,0.9,0.0040609538248128525,0.15943450035542114,0.19132140042650536,0.9999999999999958
LMT US Equity,Lockheed Martin Corp,774.0,0.8,0.0036023340409148227,0.17294252265372245,0.20753102718446695,0.9999999999998199
GOOGL US Equity,Alphabet Inc,97.0,0.8,0.0034107159784134617,0.18837465722338995,0.22604958866806793,1.0
TCOM US Equity,Trip.com Group Ltd,10338.0,0.7,0.0031988778602889375,0.5441221109006229,0.6529465330807475,0.9969085516844981
INTU US Equity,Intuit Inc,456.0,0.7,0.0031453952197125754,0.14433733901225282,0.17320480681470338,1.0
REAL US Equity,RealReal Inc/The,17888.0,0.7,0.002843513197033947,0.5970012129082173,0.7164014554898607,0.9948001544467809
PEP US Equity,PepsiCo Inc,1348.0,0.6,0.0027389777091628605,0.11400493688823944,0.13680592426588734,1.0
GRMN US Equity,Garmin Ltd,59.0,0.0,0.00012679174247319096,0.18138865042702584,0.217666380512431,0.9999999996991588
