ID,Security Description,Symbol,Country,Sector,Asset Class,Asset Group,Shares/Par,Market Value,% of Portfolio,Book Cost,Price Cost,Price Close,Price Change %,Attribution to Book P&L %,Coupon Rate,CUSIP,ISIN,ESG,environment,Social,Governance,Symbol Unq.
47754,Salesforce.Com Inc Call 290 09/17/21,CRM US 09/17/21 C290 Equity,United States,Information Technology,Option,Option,-34,"-2,232",0%,"-8,273",2.43,0.66,-73%,0%,0,,CRMI290U,-,-,-,-,
48059,Pepsico Inc Call 155 09/17/21,PEP US 09/17/21 C155 Equity,United States,Consumer Staples,Option,Option,-11,"-4,721",0%,"-2,524",2.29,4.29,87%,0%,0,,PEPI155U,-,-,-,-,
47752,American Tower Corp Call 300 10/15/21,AMT US 10/15/21 C300 Equity,United States,Real Estate,Option,Option,-11,"-8,332",0%,"-3,232",2.94,7.57,158%,0%,0,,AMTJ300U,-,-,-,-,
47596,Workday Inc Call 280 09/17/21,WDAY US 09/17/21 C280 Equity,United States,Information Technology,Option,Option,-25,"-8,679",0%,"-7,188",2.88,3.47,21%,0%,0,,WDAYI280U,-,-,-,-,
48198,Spdr S&P 500 ETF Trust Put 415 09/17/21,SPY US 09/17/21 P415 Equity,United States,Equity Index,Option,Option,-200,"-12,372",0%,"-152,714",7.64,0.62,-92%,0%,0,,SPYU415U,-,-,-,-,
47755,Facebook Inc Call 380 09/17/21,FB US 09/17/21 C380 Equity,United States,Communication Services,Option,Option,-19,"-17,102",0%,"-9,061",4.77,9.00,89%,0%,0,,FBI380U,-,-,-,-,
47553,Alphabet Inc Call 2700 09/17/21,GOOGL US 09/17/21 C2700 Equity,United States,Communication Services,Option,Option,-1,"-26,510",0%,"-3,835",38.35,265.10,591%,0%,0,,GOOGLI270,-,-,-,-,
47751,Apple Inc Call 145 09/17/21,AAPL US 09/17/21 C145 Equity,United States,Information Technology,Option,Option,-29,"-29,800",0%,"-7,240",2.50,10.28,312%,0%,0,,AAPLI145U,-,-,-,-,
47759,Microsoft Corp Call 285 09/17/21,MSFT US 09/17/21 C285 Equity,United States,Information Technology,Option,Option,-17,"-38,093",0%,"-6,605",3.89,22.41,477%,0%,0,,MSFTI285U,-,-,-,-,
47304,Spdr S&P 500 ETF Trust Put 410 09/17/21,SPY US 09/17/21 P410 Equity,United States,Equity Index,Option,Option,"-1,000","-49,234",0%,"-328,847",3.29,0.49,-85%,0%,0,,SPYU410U,-,-,-,-,
47549,Mercadolibre Inc Call 1700 09/17/21,MELI US 09/17/21 C1700 Equity,United States,Consumer Discretionary,Option,Option,-2,"-54,195",0%,"-6,432",32.16,270.97,743%,0%,0,,MELII1700,-,-,-,-,
47548,Intuit Inc Call 480 09/17/21,INTU US 09/17/21 C480 Equity,United States,Information Technology,Option,Option,-6,"-63,739",0%,"-15,662",26.10,106.23,307%,0%,0,,INTUI480U,-,-,-,-,
48512,Coinbase Global Inc Put 285 09/17/21,COIN US 09/17/21 P285 Equity,United States,Financials,Option,Option,-30,"-82,561",0%,"-218,823",72.94,27.52,-62%,0%,0,,COINU285U,-,-,-,-,
