,Portfolio,AssetType,AssetNumber,Ticker,Name,Units,CurrentMarketValue,AverageCost,LastPrice,CurrentWeight,PostTradeMarketValue,PostTradeWeight,IndicativeYield,OptPC,OptStrike,OptExpiryYYYYMMDD,symbol,max_date,VALUE_DATE,EXPIRY,STRIKE,RISK_MULTIPLIER,RISK_UNITS
26,BDIN_Portfolio,EQ,27,JKHY US Equity,Jack Henry & Associates Inc,2523.0,568828.6476,152.6153,178.419998,1.3,568829.0,1.3,1.0,,0.0,,JKHY,2050-12-31,2021-08-18,,1.0,1.0,2523.0
27,BDIN_Portfolio,EQ,28,SWMA SS Equity,Swedish Match AB,47002.0,531293.9879,65.4938,78.419998,1.2,531294.0,1.2,1.9,,0.0,,SWMA,2050-12-31,2021-08-18,,1.0,1.0,47002.0
28,BDIN_Portfolio,EQ,29,AON US Equity,Aon PLC,1499.0,531070.064,193.7754,280.620117,1.2,531070.0,1.2,0.7,,0.0,,AON,2050-12-31,2021-08-18,,1.0,1.0,1499.0
29,BDIN_Portfolio,EQ,30,COIN US Equity,Coinbase Global Inc,1640.0,519281.4063,248.0245,250.5,1.2,519281.0,1.2,0.0,,0.0,,COIN,2050-12-31,2021-08-18,,1.0,1.0,1640.0
30,BDIN_Portfolio,EQ,31,TAL US Equity,TAL Education Group,78037.0,513298.1259,17.1881,5.2,1.2,513298.0,1.2,0.0,,0.0,,TAL,2050-12-31,2021-08-18,,1.0,1.0,78037.0
31,BDIN_Portfolio,EQ,32,ETSY US Equity,Etsy Inc,2045.0,501646.1766,205.2654,194.229996,1.2,501646.0,1.2,0.0,,0.0,,ETSY,2050-12-31,2021-08-18,,1.0,1.0,2045.0
32,BDIN_Portfolio,EQ,33,V US Equity,Visa Inc,1668.0,493758.6521,198.6639,234.470001,1.2,493759.0,1.2,0.5,,0.0,,V,2050-12-31,2021-08-18,,1.0,1.0,1668.0
33,BDIN_Portfolio,EQ,34,ANGI US Equity,Angi Inc,38753.0,489256.625,14.6532,10.0,1.1,489257.0,1.1,0.0,,0.0,,ANGI,2050-12-31,2021-08-18,,1.0,1.0,38753.0
34,BDIN_Portfolio,EQ,35,AVGO US Equity,Broadcom Inc,804.0,485894.225,434.6624,478.75,1.1,485894.0,1.1,3.0,,0.0,,AVGO,2050-12-31,2021-08-18,,1.0,1.0,804.0
35,BDIN_Portfolio,EQ,36,WYNN US Equity,Wynn Resorts Ltd,4138.0,480419.7661,108.7094,91.960007,1.1,480420.0,1.1,0.0,,0.0,,WYNN,2050-12-31,2021-08-18,,1.0,1.0,4138.0
36,BDIN_Portfolio,EQ,37,ROP US Equity,Roper Technologies Inc,773.0,474108.1088,423.3628,485.810059,1.1,474108.0,1.1,0.5,,0.0,,ROP,2050-12-31,2021-08-18,,1.0,1.0,773.0
37,BDIN_Portfolio,EQ,38,FTDR US Equity,Frontdoor Inc,7965.0,424858.0781,49.3016,42.259995,1.0,424858.0,1.0,0.0,,0.0,,FTDR,2050-12-31,2021-08-18,,1.0,1.0,7965.0
38,BDIN_Portfolio,EQ,39,JNJ US Equity,Johnson & Johnson,1832.0,415119.2821,146.1653,179.479996,1.0,415119.0,1.0,2.4,,0.0,,JNJ,2050-12-31,2021-08-18,,1.0,1.0,1832.0
39,BDIN_Portfolio,EQ,40,CSU CN Equity,Constellation Software Inc/Canada,199.0,412534.9678,1461.2609,2073.040039,1.0,412535.0,1.0,0.2,,0.0,,CSU,2050-12-31,2021-08-18,,1.0,1.0,199.0
40,BDIN_Portfolio,EQ,41,EDU US Equity,New Oriental Education & Technology Group Inc,174984.0,408697.0893,2.6048,1.85,1.0,408697.0,1.0,0.0,,0.0,,EDU,2050-12-31,2021-08-18,,1.0,1.0,174984.0
41,BDIN_Portfolio,EQ,42,BIIB US Equity,Biogen Inc,902.0,398332.1517,405.3743,349.780029,0.9,398332.0,0.9,0.0,,0.0,,BIIB,2050-12-31,2021-08-18,,1.0,1.0,902.0
42,BDIN_Portfolio,EQ,43,9901 HK Equity,New Oriental Education & Technology Group Inc,169200.0,382659.4903,16.0709,13.96,0.9,382659.0,0.9,0.0,,0.0,,9901,2050-12-31,2021-08-18,,1.0,1.0,169200.0
43,BDIN_Portfolio,EQ,44,LMT US Equity,Lockheed Martin Corp,774.0,353336.7941,372.6388,361.590088,0.8,353337.0,0.8,2.9,,0.0,,LMT,2050-12-31,2021-08-18,,1.0,1.0,774.0
44,BDIN_Portfolio,EQ,45,8697 JP Equity,Japan Exchange Group Inc,11900.0,346601.7507,2559.5716,2528.5,0.8,346602.0,0.8,2.1,,0.0,,8697,2050-12-31,2021-08-18,,1.0,1.0,11900.0
45,BDIN_Portfolio,EQ,46,GOOGL US Equity,Alphabet Inc,97.0,334718.1765,1714.3546,2731.790039,0.8,334718.0,0.8,0.0,,0.0,,GOOGL,2050-12-31,2021-08-18,,1.0,1.0,97.0
46,BDIN_Portfolio,EQ,47,TCOM US Equity,Trip.com Group Ltd,10338.0,314024.4716,44.1766,24.040009,0.7,314024.0,0.7,0.0,,0.0,,TCOM,2050-12-31,2021-08-18,,1.0,1.0,10338.0
47,BDIN_Portfolio,EQ,48,INTU US Equity,Intuit Inc,456.0,308494.6638,315.5439,535.900146,0.7,308495.0,0.7,0.4,,0.0,,INTU,2050-12-31,2021-08-18,,1.0,1.0,456.0
48,BDIN_Portfolio,EQ,49,AC FP Equity,Accor SA,7279.0,303550.8668,25.4908,28.209991,0.7,303551.0,0.7,0.0,,0.0,,AC,2050-12-31,2021-08-18,,1.0,1.0,7279.0
49,BDIN_Portfolio,EQ,50,REAL US Equity,RealReal Inc/The,17888.0,278907.4686,21.3153,12.35,0.7,278907.0,0.7,0.0,,0.0,,REAL,2050-12-31,2021-08-18,,1.0,1.0,17888.0
50,BDIN_Portfolio,EQ,51,PEP US Equity,PepsiCo Inc,1348.0,268722.1046,141.2004,157.860001,0.6,268722.0,0.6,2.7,,0.0,,PEP,2050-12-31,2021-08-18,,1.0,1.0,1348.0
51,BDIN_Portfolio,EQ,52,GRMN US Equity,Garmin Ltd,59.0,12437.178,118.7198,166.960007,0.0,12437.0,0.0,1.6,,0.0,,GRMN,2050-12-31,2021-08-18,,1.0,1.0,59.0
52,BDIN_Portfolio,FI,1,ZO760437     Corp,CAN 0 1/2 12/01/30,1617.0,1526030.982,98.3289,94.265991,3.6,1526031.0,3.6,0.0,,0.0,,ZO760437,2050-12-31,2021-08-18,,1.0,1.0,1617.0
53,BDIN_Portfolio,FI,2,BH518546     Corp,CAN 0 1/2 09/01/25,780.0,774214.3395,100.53,99.024002,1.8,774214.0,1.8,0.0,,0.0,,BH518546,2050-12-31,2021-08-18,,1.0,1.0,780.0
54,BDIN_Portfolio,OP,1,SPY US U1721C430000 Equity,SPDR S&P 500 ETF Trust,1200.0,601454.896,5.5228,3.969999,1.4,601455.0,1.4,0.0,P,430.0,20210917,SPY,2050-12-31,2021-08-18,2021-09-17,430.0,100.0,120000.0
55,BDIN_Portfolio,OP,2,SPY US U0721C425000 Equity,SPDR S&P 500 ETF Trust,600.0,143167.4538,4.7325,1.889999,0.3,143167.0,0.3,0.0,P,425.0,20210907,SPY,2050-12-31,2021-08-18,2021-09-07,425.0,100.0,60000.0
56,BDIN_Portfolio,OP,3,SPY US T2021C430000 Equity,SPDR S&P 500 ETF Trust,800.0,27270.0041,4.5797,0.27,0.1,27270.0,0.1,0.0,P,430.0,20210820,SPY,2050-12-31,2021-08-18,2021-08-20,430.0,100.0,80000.0
57,BDIN_Portfolio,OP,4,UBER US H2021D650000 Equity,Uber Technologies Inc,-118.0,-148.975,0.5,0.02,-0.0,-149.0,-0.0,0.0,C,65.0,20210820,UBER,2050-12-31,2021-08-18,2021-08-20,65.0,100.0,-11800.0
58,BDIN_Portfolio,OP,5,COIN US H2021C290000 Equity,Coinbase Global Inc,-10.0,-252.5,4.1009,0.15,-0.0,-252.0,-0.0,0.0,C,290.0,20210820,COIN,2050-12-31,2021-08-18,2021-08-20,290.0,100.0,-1000.0
59,BDIN_Portfolio,OP,6,RH US H2021C780000 Equity,RH,-10.0,-820.625,10.0,0.6,-0.0,-821.0,-0.0,0.0,C,780.0,20210820,RH,2050-12-31,2021-08-18,2021-08-20,780.0,100.0,-1000.0
60,BDIN_Portfolio,OP,7,TAL US H2021D600000 Equity,TAL Education Group,-176.0,-1111.0,0.45,0.05,-0.0,-1111.0,-0.0,0.0,C,60.0,20210820,TAL,2050-12-31,2021-08-18,2021-08-20,60.0,100.0,-17600.0
61,BDIN_Portfolio,OP,8,V US I1721C255000 Equity,Visa Inc,-17.0,-1416.5251,2.5,0.59,-0.0,-1417.0,-0.0,0.0,C,255.0,20210917,V,2050-12-31,2021-08-18,2021-09-17,255.0,100.0,-1700.0
62,BDIN_Portfolio,OP,9,GOOGL US U1721B230000 Equity,Alphabet Inc,-3.0,-1742.2501,41.8,3.900001,-0.0,-1742.0,-0.0,0.0,P,2300.0,20210917,GOOGL,2050-12-31,2021-08-18,2021-09-17,2300.0,100.0,-300.0
63,BDIN_Portfolio,OP,10,WDAY US I1721C280000 Equity,Workday Inc,-18.0,-2022.525,2.3,0.55,-0.0,-2023.0,-0.0,0.0,C,280.0,20210917,WDAY,2050-12-31,2021-08-18,2021-09-17,280.0,100.0,-1800.0
64,BDIN_Portfolio,OP,11,ROP US H2021C490000 Equity,Roper Technologies Inc,-7.0,-2076.8128,4.5,1.3,-0.0,-2077.0,-0.0,0.0,C,490.0,20210820,ROP,2050-12-31,2021-08-18,2021-08-20,490.0,100.0,-700.0
65,BDIN_Portfolio,OP,12,AVGO US I1721C520000 Equity,Broadcom Inc,-8.0,-3131.0004,6.9,2.8,-0.0,-3131.0,-0.0,0.0,C,520.0,20210917,AVGO,2050-12-31,2021-08-18,2021-09-17,520.0,100.0,-800.0
66,BDIN_Portfolio,OP,13,TCOM US I1721D450000 Equity,Trip.com Group Ltd,-103.0,-3250.9375,0.7,0.05,-0.0,-3251.0,-0.0,0.0,C,45.0,20210917,TCOM,2050-12-31,2021-08-18,2021-09-17,45.0,100.0,-10300.0
