,Symbol,LastStockPrice,LastStockPriceDate,ZoneYYYYMMDD,MMRatio,StdevRatio,ZoneNum,ZoneLabel,BDPos,OptionTicker,Strike,OptionBid,ImpliedYield,StrikeRatio,LongName,Currency,ShareOut,MarketCap,MarketCapUSD,Exchange,MarketCapComma,MarketCapLabel,BDPosDetails,BDPosUSDValue,ExchangeRate,BDCallOptPos,BDCallOptDets,OptionExpiry,BDEQPos,BDEQPosUSDValue,BDEQCallOptPos,MaxBTStrikeRatio,BTStrikeCount
0,0700.HK,490.0,2021-09-10T00:00:00.000000000,2021-09-10T00:00:00.000000000,0.48,0.59,5.0,p-v-,15500,,,,,,Tencent Holdings Limited,HKD,2147483647.0,4703142281216.0,604703.543666,HKG,"4,703,142.28 MM",Large Cap,"IN(8,600) EQ(6,900)",976522.32,7.7776,0,,,6900,434709.94,0,,
1,8697.T,2964.0,2021-09-10T00:00:00.000000000,2021-09-10T00:00:00.000000000,1.0,1.0,3.0,pHvH,21200,,,,,,Japan Exchange Group Inc.,JPY,532156000.0,1577310355456.0,14351.971351,JPX,"1,577,310.36 MM",Large Cap,"IN(11,900) EQ(9,300)",571753.02,109.902,0,,,9300,250816.18,0,,
2,AAPL,154.07,2021-09-09T00:00:00.000000000,2021-09-09T00:00:00.000000000,0.87,0.06,1.0,pHvL,6595,AAPL211217C00175000,175.0,2.01,0.034457,0.135847,Apple Inc.,USD,2147483647.0,2546807865344.0,2546807.865344,NMS,"2,546,807.87 MM",Large Cap,"IN(3,679) EQ(2,916)",1016091.7,1.0,-6500,IN(-36) EQ(-29),2021-12-17,2916,449268.14,-2900,18.527992,53.0
3,ABNB,166.0,2021-09-09T00:00:00.000000000,2021-09-09T00:00:00.000000000,1.0,0.36,2.0,pHv-,0,ABNB220121C00210000,210.0,4.51,0.042952,0.26506,Airbnb Inc.,USD,336553984.0,104354742272.0,104354.742272,NMS,"104,354.74 MM",Large Cap,,0.0,1.0,0,,2022-01-21,0,0.0,0,,
4,AXON,181.15,2021-09-09T00:00:00.000000000,2021-09-09T00:00:00.000000000,0.39,0.0,4.0,p-vL,0,AXON211217C00230000,230.0,3.5,0.045652,0.269666,Axon Enterprise Inc.,USD,65675700.0,11897152512.0,11897.152512,NMS,"11,897.15 MM",Large Cap,,0.0,1.0,0,,2021-12-17,0,0.0,0,,
5,ABT,127.98,2021-09-09T00:00:00.000000000,2021-09-09T00:00:00.000000000,0.92,0.03,1.0,pHvL,0,ABT211119C00140000,140.0,0.85,0.030357,0.093921,Abbott Laboratories,USD,1772819968.0,226885500928.0,226885.500928,NYQ,"226,885.50 MM",Large Cap,,0.0,1.0,0,,2021-11-19,0,0.0,0,18.960471,33.0
6,AC.PA,28.83,2021-09-10T00:00:00.000000000,2021-09-10T00:00:00.000000000,0.19,0.0,7.0,pLvL,76135,,,,,,Accor SA,EUR,261839008.0,7548818432.0,8929.286056,PAR,"7,548.82 MM",Mid Cap,"IN(7,279) OP(60,418) EQ(8,438)",2596371.01,0.8454,0,,,8438,287754.36,0,,
7,ADBE,661.68,2021-09-09T00:00:00.000000000,2021-09-09T00:00:00.000000000,0.94,0.0,1.0,pHvL,0,ADBE211217C00760000,760.0,8.65,0.034145,0.148591,Adobe Inc.,USD,476400000.0,315224358912.0,315224.358912,NMS,"315,224.36 MM",Large Cap,,0.0,1.0,0,,2021-12-17,0,0.0,0,17.918481,27.0
8,ADI,168.81,2021-09-09T00:00:00.000000000,2021-09-09T00:00:00.000000000,0.78,0.09,1.0,pHvL,0,ADI211217C00195000,195.0,1.27,0.019538,0.155145,Analog Devices Inc.,USD,537411008.0,90720354304.0,90720.354304,NMS,"90,720.35 MM",Large Cap,,0.0,1.0,0,,2021-12-17,0,0.0,0,19.21793,24.0
9,ADP,203.16,2021-09-09T00:00:00.000000000,2021-09-09T00:00:00.000000000,0.3,0.42,5.0,p-v-,0,ADP211119C00220000,220.0,1.8,0.040909,0.08289,Automatic Data Processing Inc.,USD,423080992.0,85953134592.0,85953.134592,NMS,"85,953.13 MM",Large Cap,,0.0,1.0,0,,2021-11-19,0,0.0,0,16.665171,26.0
