,Portfolio,AssetType,AssetNumber,Ticker,Name,Units,CurrentMarketValue,AverageCost,LastPrice,CurrentWeight,PostTradeMarketValue,PostTradeWeight,IndicativeYield,OptPC,OptStrike,OptExpiryYYYYMMDD
38,BDIN_Portfolio,EQ,39,9901 HK Equity,New Oriental Education & Technology Group Inc,169200.0,467270.5699,16.0709,16.960007,1.1,467271.0,1.1,0.0,,0.0,
39,BDIN_Portfolio,EQ,40,FTDR US Equity,Frontdoor Inc,7965.0,466114.6077,49.3016,46.210007,1.1,466115.0,1.1,0.0,,0.0,
40,BDIN_Portfolio,EQ,41,CSU CN Equity,Constellation Software Inc/Canada,199.0,438661.6855,1461.2609,2204.330078,1.0,438662.0,1.0,0.2,,0.0,
41,BDIN_Portfolio,EQ,42,TCOM US Equity,Trip.com Group Ltd,10338.0,416457.8622,44.1766,31.809998,1.0,416458.0,1.0,0.0,,0.0,
42,BDIN_Portfolio,EQ,43,8697 JP Equity,Japan Exchange Group Inc,11900.0,395567.6679,2559.5716,2880.5,0.9,395568.0,0.9,1.8,,0.0,
43,BDIN_Portfolio,EQ,44,JNJ US Equity,Johnson & Johnson,1832.0,389953.1342,146.1653,168.080002,0.9,389953.0,0.9,2.5,,0.0,
44,BDIN_Portfolio,EQ,45,GOOGL US Equity,Alphabet Inc,97.0,352653.8339,1714.3546,2869.689941,0.8,352654.0,0.8,0.0,,0.0,
45,BDIN_Portfolio,EQ,46,BIIB US Equity,Biogen Inc,902.0,342859.0724,405.3743,299.860107,0.8,342859.0,0.8,0.0,,0.0,
46,BDIN_Portfolio,EQ,47,LMT US Equity,Lockheed Martin Corp,774.0,342018.8858,372.6388,348.929932,0.8,342019.0,0.8,3.0,,0.0,
47,BDIN_Portfolio,EQ,48,INTU US Equity,Intuit Inc,456.0,327863.3616,315.5439,567.820068,0.8,327863.0,0.8,0.5,,0.0,
48,BDIN_Portfolio,EQ,49,AC FP Equity,Accor SA,7279.0,313724.4269,25.4908,28.779999,0.7,313724.0,0.7,0.0,,0.0,
49,BDIN_Portfolio,EQ,50,REAL US Equity,RealReal Inc/The,17888.0,285885.441,21.3153,12.61,0.7,285885.0,0.7,0.0,,0.0,
50,BDIN_Portfolio,EQ,51,PEP US Equity,PepsiCo Inc,748.0,147517.917,141.2004,155.720001,0.3,147518.0,0.3,2.8,,0.0,
