,Symbol,LastStockPrice,LastStockPriceDate,ZoneYYYYMMDD,MMRatio,StdevRatio,ZoneNum,ZoneLabel,BDPos,OptionTicker,Strike,OptionBid,ImpliedYield,StrikeRatio,LongName,Currency,ShareOut,MarketCap,MarketCapUSD,Exchange,MarketCapComma,MarketCapLabel,BDPosDetails,BDPosUSDValue,ExchangeRate,BDCallOptPos,BDCallOptDets,OptionExpiry,BDEQPos,BDEQPosUSDValue,BDEQCallOptPos,MaxBTStrikeRatio,BTStrikeCount
137,RTX,84.05,2021-08-20T00:00:00.000000000,2021-08-20T00:00:00.000000000,0.42,0.01,4.0,p-vL,0,RTX211119C00095000,95.0,0.69,0.029053,0.13028,Raytheon Technologies Corporation,USD,1507879936.0,126737309696.0,126737.309696,NYQ,"126,737.31 MM",Large Cap,,0.0,1.0,0,,2021-11-19,0,0.0,0,15.416319,3.0
138,SABR,9.54,2021-08-20T00:00:00.000000000,2021-08-20T00:00:00.000000000,0.0,0.87,9.0,pLvH,146057,SABR211217C00014000,14.0,0.18,0.038571,0.467505,Sabre Corporation,USD,322656992.0,3078147584.0,3078.147584,NMS,"3,078.15 MM",Mid Cap,"OP(146,057)",1393383.78,1.0,0,,2021-12-17,0,0.0,0,19.645848,13.0
139,SAM,588.12,2021-08-20T00:00:00.000000000,2021-08-20T00:00:00.000000000,0.0,1.0,9.0,pLvH,0,SAM211217C00760000,760.0,10.7,0.042237,0.292253,The Boston Beer Company Inc.,USD,10203800.0,7223172096.0,7223.172096,NYQ,"7,223.17 MM",Mid Cap,,0.0,1.0,0,,2021-12-17,0,0.0,0,16.585185,18.0
140,SBUX,114.63,2021-08-20T00:00:00.000000000,2021-08-20T00:00:00.000000000,0.33,0.87,6.0,p-vH,0,SBUX211119C00125000,125.0,1.51,0.04832,0.090465,Starbucks Corporation,USD,1179100032.0,135160233984.0,135160.233984,NMS,"135,160.23 MM",Large Cap,,0.0,1.0,0,,2021-11-19,0,0.0,0,19.783622,33.0
141,SFER.MI,16.58,2021-08-20T00:00:00.000000000,2021-08-20T00:00:00.000000000,0.04,0.82,9.0,pLvH,0,,,,,,Salvatore Ferragamo S.p.A.,EUR,168640000.0,2795208192.0,3271.928119,MIL,"2,795.21 MM",Mid Cap,,0.0,0.8543,0,,,0,0.0,0,,
142,SHOP,1450.7,2021-08-20T00:00:00.000000000,2021-08-20T00:00:00.000000000,0.51,0.09,4.0,p-vL,0,SHOP211217C02000000,2000.0,15.6,0.0234,0.378645,Shopify Inc.,USD,113224000.0,183380082688.0,183380.082688,NYQ,"183,380.08 MM",Large Cap,,0.0,1.0,0,,2021-12-17,0,0.0,0,18.763409,15.0
143,SHW,307.06,2021-08-20T00:00:00.000000000,2021-08-20T00:00:00.000000000,1.0,1.0,3.0,pHvH,0,SHW211217C00330000,330.0,5.2,0.047273,0.074709,The Sherwin-Williams Company,USD,263302000.0,80849510400.0,80849.5104,NYQ,"80,849.51 MM",Large Cap,,0.0,1.0,0,,2021-12-17,0,0.0,0,18.230763,22.0
144,SMWH.L,1637.0,2021-08-20T00:00:00.000000000,2021-08-20T00:00:00.000000000,0.56,0.0,4.0,p-vL,0,,,,,,WH Smith PLC,GBp,130909000.0,2142980352.0,2142.980352,LSE,"2,142.98 MM",Mid Cap,,0.0,1.0,0,,,0,0.0,0,,
145,SNPS,316.88,2021-08-20T00:00:00.000000000,2021-08-20T00:00:00.000000000,1.0,0.34,2.0,pHv-,0,SNPS211119C00330000,330.0,7.9,0.095758,0.041404,Synopsys Inc.,USD,152575008.0,48347967488.0,48347.967488,NMS,"48,347.97 MM",Large Cap,,0.0,1.0,0,,2021-11-19,0,0.0,0,19.080336,19.0
146,SONO,37.81,2021-08-20T00:00:00.000000000,2021-08-20T00:00:00.000000000,0.72,0.26,5.0,p-v-,0,SONO211217C00060000,60.0,0.58,0.029,0.586882,Sonos Inc.,USD,125771000.0,4755401728.0,4755.401728,NMS,"4,755.40 MM",Mid Cap,,0.0,1.0,0,,2021-12-17,0,0.0,0,15.740741,3.0
